fec_candidate_id,name,party,state,national_party
S6FL00897,"RIVERA, ERNEST ERNIE JOHN REV. DR.",REP,FL,REPUBLICAN PARTY
S6NJ00396,"RIVERA, NATALIE",IND,NJ,INDEPENDENT
S6AK00318,"ROBERTS, REECE",NON,AK,NON-PARTY
S6PA00373,"ROBINSON, MICHAEL D",DEM,PA,DEMOCRATIC PARTY
S6ME00365,"RODRIGUEZ, DAIRA",DEM,ME,DEMOCRATIC PARTY
S6IL00631,"RODRIQUEZ, ADAIR",DEM,IL,DEMOCRATIC PARTY
S4MI00595,"ROGERS, MICHAEL J",REP,MI,REPUBLICAN PARTY
S6KY00369,"ROMANS, DALE",DEM,KY,DEMOCRATIC PARTY
S6OH00403,"ROSE, DAKOTA",DEM,OH,DEMOCRATIC PARTY
S6ID00138,"ROTH, DAVID JORDAN",DEM,ID,DEMOCRATIC PARTY
S4SD00049,"ROUNDS, MIKE",REP,SD,REPUBLICAN PARTY
S6ID00153,"ROY, JOSHUA S",REP,ID,REPUBLICAN PARTY
S4MN00486,"RUOHO, MIKE",REP,MN,REPUBLICAN PARTY
S6AR00181,"RUSSELL, JAMES RICHARD MR III",DEM,AR,DEMOCRATIC PARTY
S6OR05192,"RYAN, JACOB",DEM,OR,DEMOCRATIC PARTY
S6IL00581,"RYAN, KEVIN",DEM,IL,DEMOCRATIC PARTY
S6NH00224,"SAAL, MAXWELL LEAVY",DEM,NH,DEMOCRATIC PARTY
S6IA00256,"SAGE, NATHAN",DEM,IA,DEMOCRATIC PARTY
S6SC04452,"SANFORD, MARSHALL C HON.",REP,SC,REPUBLICAN PARTY
S4NE00090,"SASSE, BENJAMIN E.",REP,NE,REPUBLICAN PARTY
S6CO00457,"SCANLON, MICHAEL",DEM,CO,DEMOCRATIC PARTY
S6IL00417,"SCHILLING, JOSEPH DAVID",OTH,IL,OTHER
S6KS00288,"SCHMIDT, PATRICK",DEM,KS,DEMOCRATIC PARTY
S6TX00321,"SCHMOKER, TONY",REP,TX,REPUBLICAN PARTY
S6IA00264,"SCHOLTEN, JAMES",DEM,IA,DEMOCRATIC PARTY
S6IL00698,"SCHWARTZBERG, STEVEN J",,IL,
S6MN00457,"SCHWARZE, ADAM",REP,MN,REPUBLICAN PARTY
S6MI00434,"SCOTT, GENEVIEVE",REP,MI,REPUBLICAN PARTY
S6SC04312,"SEDLETSKY, PAUL",IND,SC,INDEPENDENT
S6LA00573,"SEIDEN, KATHY W",REP,LA,REPUBLICAN PARTY
S0NH00219,"SHAHEEN, JEANNE",DEM,NH,DEMOCRATIC PARTY
S6ME00449,"SHAH, NIRAV",DEM,ME,DEMOCRATIC PARTY
S6KY00294,"SHELLEY, *ANDREW NICHOLAS",REP,KY,REPUBLICAN PARTY
S6IL00599,"SHEPHERD, JUMP WESLEY",DEM,IL,DEMOCRATIC PARTY
S6MI00533,"SHERMAN, JASON",IDP,MI,INDEPENDENCE PARTY
S6AR00199,"SHOFFNER, HALLIE",DEM,AR,DEMOCRATIC PARTY
S4WV00357,"SHREWSBURY, ZACHARY C",DEM,WV,DEMOCRATIC PARTY
S6DE00198,"SHULLI, JOHN",REP,DE,REPUBLICAN PARTY
S2NC00547,"SIBHATU, LICHIA WOLDEGABREAL",REP,NC,REPUBLICAN PARTY
S6TX00495,"SIMMONS, JADE",IND,TX,INDEPENDENT
S6TX00503,"SIMMONS, JADE",IND,TX,INDEPENDENT
S6MN00481,"SIMONETTI, MARISA",NON,MN,NON-PARTY
S6TX00586,"SIMS, DANIEL M",LIB,TX,LIBERTARIAN PARTY
S6NH00133,"SIVALINGAM, TEJASINHA",REP,NH,REPUBLICAN PARTY
S6OR05184,"SKELTON, TIMOTHY WILLIAM",REP,OR,REPUBLICAN PARTY
S6WY00191,"SKOVGARD, JIMMY MR",REP,WY,REPUBLICAN PARTY
S6LA00672,"SKRMETTA, ERIC",REP,LA,REPUBLICAN PARTY
S6ME00290,"SMERIGLIO, DANIEL C",REP,ME,REPUBLICAN PARTY
S6MS00125,"SMITH, ANDREW SCOTT",REP,MS,REPUBLICAN PARTY
S6IL00441,"SMITH, ANTHONY J MR",IND,IL,INDEPENDENT
